Lambda,Profit_M,Performance,Total_Salary_M,PER_Sum,Players,Composite_Score
0.0,100.59723013081859,11.199721212707262,1.4763435466701431,204.81271111184805,"Player 50, Player 4, Player 84, Player 63, Player 100, Player 23, Player 80, Player 28",1.0
0.05263157894736842,100.59723013081859,11.19972121270726,1.4763435466701431,204.81271111184807,"Player 50, Player 84, Player 4, Player 23, Player 100, Player 63, Player 80, Player 28",1.0
0.10526315789473684,100.59723013081859,11.19972121270726,1.4763435466701431,204.81271111184807,"Player 50, Player 84, Player 4, Player 23, Player 100, Player 63, Player 80, Player 28",1.0
0.15789473684210525,100.59723013081859,11.19972121270726,1.4763435466701431,204.81271111184807,"Player 84, Player 50, Player 23, Player 4, Player 100, Player 63, Player 80, Player 28",1.0
0.21052631578947367,100.59723013081859,11.199721212707262,1.4763435466701431,204.81271111184807,"Player 84, Player 23, Player 50, Player 4, Player 100, Player 63, Player 80, Player 28",1.0
0.2631578947368421,100.59723013081859,11.199721212707262,1.4763435466701431,204.81271111184807,"Player 84, Player 23, Player 50, Player 4, Player 100, Player 63, Player 28, Player 80",1.0
0.3157894736842105,100.59723013081859,11.19972121270726,1.4763435466701431,204.81271111184807,"Player 84, Player 23, Player 50, Player 28, Player 100, Player 4, Player 63, Player 80",1.0
0.3684210526315789,95.7577339280364,10.48637995671296,1.3877730949929925,212.2926972447708,"Player 84, Player 23, Player 28, Player 50, Player 105, Player 100, Player 77, Player 4, Player 19",0.9440997911757592
0.42105263157894735,96.71293858238319,9.939061538908282,1.4663173497610258,224.70814750669464,"Player 84, Player 23, Player 28, Player 105, Player 77, Player 19, Player 50, Player 100, Player 121, Player 47",0.9244129937854653
0.47368421052631576,96.71293858238319,9.939061538908282,1.466317349761026,224.70814750669462,"Player 23, Player 84, Player 28, Player 105, Player 77, Player 19, Player 121, Player 50, Player 100, Player 47",0.9244129937854653
0.5263157894736842,96.43274332039947,10.062101577662792,1.4362426315437433,220.9817672677522,"Player 28, Player 23, Player 84, Player 105, Player 77, Player 19, Player 121, Player 50, Player 138, Player 100",0.9285133304573949
0.5789473684210527,84.90725176790129,8.778678557147511,1.4240277032236264,215.74584100018845,"Player 28, Player 105, Player 23, Player 77, Player 84, Player 19, Player 121, Player 138, Player 59, Player 146, Player 47",0.8139309011789566
0.631578947368421,84.38645837256338,8.802037771658801,1.3880700736867375,209.05919340456757,"Player 28, Player 105, Player 77, Player 19, Player 23, Player 84, Player 121, Player 138, Player 59, Player 73, Player 146",0.8123852415844479
0.6842105263157894,83.87991513784809,8.35894310585607,1.3595841204019319,202.63342771454083,"Player 105, Player 28, Player 77, Player 19, Player 23, Player 84, Player 138, Player 59, Player 121, Player 73, Player 68",0.7900860574915106
0.7368421052631579,83.87991513784809,8.35894310585607,1.3595841204019319,202.63342771454083,"Player 105, Player 28, Player 77, Player 19, Player 23, Player 59, Player 138, Player 84, Player 73, Player 68, Player 121",0.7900860574915106
0.7894736842105263,78.67069614164157,8.131009114467295,1.4791546963078863,208.17279716642295,"Player 105, Player 77, Player 28, Player 19, Player 59, Player 68, Player 138, Player 73, Player 23, Player 124, Player 84, Player 111",0.7540187162202767
0.8421052631578947,72.35117813144488,7.980548363217317,1.4639351701689367,198.75849473967364,"Player 105, Player 77, Player 28, Player 19, Player 59, Player 68, Player 73, Player 138, Player 124, Player 23, Player 146, Player 111",0.7158915511283126
0.894736842105263,72.35117813144488,7.980548363217317,1.4639351701689367,198.75849473967364,"Player 105, Player 77, Player 28, Player 19, Player 59, Player 68, Player 73, Player 138, Player 124, Player 23, Player 146, Player 111",0.7158915511283126
0.9473684210526315,72.35117813144488,7.980548363217318,1.4639351701689365,198.75849473967367,"Player 105, Player 77, Player 28, Player 19, Player 59, Player 68, Player 73, Player 138, Player 124, Player 146, Player 111, Player 23",0.7158915511283126
1.0,72.35117813144488,7.980548363217318,1.4639351701689365,198.75849473967367,"Player 105, Player 77, Player 68, Player 59, Player 28, Player 19, Player 73, Player 138, Player 124, Player 146, Player 111, Player 23",0.7158915511283126
